cProfile_30_100.dat
         5556146 function calls (2879839 primitive calls) in 5.583 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7396    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
     4736    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:324(<genexpr>)
     3431    0.001    0.000    0.001    0.000 sre_parse.py:153(__len__)
      306    0.001    0.000    0.003    0.000 inspect.py:1750(_signature_bound_method)
      954    0.001    0.000    0.002    0.000 __init__.py:2444(key)
     2178    0.001    0.000    0.001    0.000 {built-in method from_bytes}
      897    0.001    0.000    0.002    0.000 sre_compile.py:386(_simple)
       25    0.001    0.000    0.797    0.032 SSL.py:1325(recv_into)
      134    0.001    0.000    0.004    0.000 __init__.py:1859(get_metadata)
      413    0.001    0.000    0.001    0.000 function_base.py:2162(__init__)
      801    0.001    0.000    0.026    0.000 <frozen importlib._bootstrap>:870(_find_spec_legacy)
     2472    0.001    0.000    0.001    0.000 version.py:207(<genexpr>)
     1185    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:314(__enter__)
     1737    0.001    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
      350    0.001    0.000    0.002    0.000 inspect.py:2762(_hash_basis)
      120    0.001    0.000    0.002    0.000 argparse.py:591(_expand_help)
      211    0.001    0.000    0.002    0.000 functools.py:43(update_wrapper)
1070/1042    0.001    0.000    0.017    0.000 pyparsing.py:3679(parseImpl)
      691    0.001    0.000    0.002    0.000 pyparsing.py:2658(parseImpl)
        1    0.001    0.001    0.009    0.009 graph_objs.py:800(_add_classes_to_globals)
      900    0.001    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
     5010    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
     1279    0.001    0.000    0.001    0.000 pyparsing.py:186(__init__)
     5231    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
      389    0.001    0.000    0.002    0.000 pyparsing.py:732(copy)
     1432    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:159(__init__)
     1186    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:419(parent)
     4783    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
        1    0.001    0.001    0.001    0.001 __init__.py:1113(<listcomp>)
      124    0.001    0.000    0.014    0.000 argparse.py:485(_format_action)
        2    0.001    0.000    0.011    0.006 decode_asn1.py:193(parse)
  544/415    0.001    0.000    0.017    0.000 pyparsing.py:3948(parseImpl)
     1350    0.001    0.000    0.001    0.000 {built-in method _imp.is_frozen}
      131    0.001    0.000    0.003    0.000 pyparsing.py:4213(postParse)
     3756    0.001    0.000    0.005    0.000 _methods.py:37(_any)
      152    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1260(_fill_cache)
        4    0.001    0.000    0.001    0.000 poolmanager.py:113(__init__)
      900    0.001    0.000    0.010    0.000 pyparsing.py:1144(copy)
      136    0.001    0.000    0.012    0.000 utils.py:74(verify_interface)
       32    0.001    0.000    0.001    0.000 SSL.py:1155(_raise_ssl_error)
      218    0.001    0.000    0.002    0.000 pyparsing.py:3202(__init__)
       57    0.001    0.000    0.003    0.000 core.py:231(check_label)
      663    0.001    0.000    0.002    0.000 inspect.py:447(unwrap)
      520    0.001    0.000    0.001    0.000 encoder.py:222(floatstr)
     2472    0.001    0.000    0.001    0.000 version.py:244(<genexpr>)
     1181    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:786(__init__)
        1    0.001    0.001    0.001    0.001 _cm_listed.py:1(<module>)
        8    0.001    0.000    0.760    0.095 tools.py:129(ensure_local_plotly_files)
      725    0.001    0.000    0.002    0.000 os.py:720(__getitem__)
     2390    0.001    0.000    0.001    0.000 inspect.py:158(isfunction)
       98    0.001    0.000    0.001    0.000 oid.py:12(__init__)
     1046    0.001    0.000    0.008    0.000 re.py:175(sub)
      523    0.001    0.000    0.019    0.000 decorators.py:181(__call__)
        2    0.001    0.000    0.001    0.000 {built-in method _hashlib.openssl_sha1}
      137    0.001    0.000    0.001    0.000 sre_compile.py:376(<listcomp>)
     2684    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     7260    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
        1    0.001    0.001    0.003    0.003 binding.py:100(build_conditional_library)
     1006    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
